,Movie,Day of Release,Language
163,Moksha,2020,Kannada
164,Mass Power,2020,Telugu
165,Sreekaram,2020,Telugu
166,Mdhuravada,2020,Telugu
167,Preethi Irabaradhey,2020,Kannada
168,Mirugaa,2020,Tamil
169,Lokkhi Chhele,2020,Bengali
170,The Kashmir Files,2020,Hindi
171,Aham Brahmasmi,2020,"Hindi, "
172,Thamezharasan,2020,Tamil
173,Rashmi Rocket,2020,Hindi
174,The New Mutants,2020,"Hindi, "
175,Haathi Mere Saathi,2020,Hindi
176,Sandeep Aur Pinky Faraar,2020,Hindi
177,Harshali,2020,Hindi
178,Misbehaviour,2020,English
179,The Personal History of David Copperfield,2020,English
180,The Secret: Dare to Dream,2020,English
181,A Quiet Place - Part 2,2020,English
182,O ,2020,"Tamil, "
183,Arasiyalla Idhellam Saadharanam appa,2020,Tamil
184,Vajvuya Band Baja,2020,Marathi
185,Email Female,2020,Marathi
186,Panghrun,2020,Marathi
187,Gaav Pudhe Aahe,2020,Marathi
188,Thurthu Nirgamana,2020,Kannada
189,Kademane,2020,Kannada
190,NaakuMukha,2020,Kannada
191,Chhotu 2,2020,Gujarati
192,Pyar Ho Gail Zahar,2020,Bhojpuri
193,I Know You,2020,Hindi
194,Boomerang,2020,Telugu
195,Yuvarathnaa,2020,Kannada
196,RUN 2,2020,Kannada
197,Goreyan Nu Daffa Karo 2,2020,Punjabi
198,Saumya Ganesh,2020,Hindi
199,Dhaakad,2020,Hindi
200,Suraj Pe Mangal Bhari,2020,Hindi
201,Antlers,2020,English
202,Aranya,2020,Telugu
203,ILU-ILU,2020,Marathi
204,Satarcha Salman,2020,Marathi
205,Bhayam,2020,Hindi
206,Chandrabati Kotha,2020,Bengali
207,Sherni,2020,Hindi
208,The Nightingale,2020,English
209,Lost Girls,2020,English
210,Tera Yaar Hoon Main,2020,Hindi
211,Irena Sendler,2020,English
212,The French Dispatch,2020,English
213,Kakababur Protyaborton,2020,Bengali
214,Love Story(Bengali),2020,Bengali
215,Bole Chudiyan,2020,Hindi
216,Superstar (Hindi),2020,Hindi
217,Dahi Cheeni,2020,Hindi
218,A Simple Favor,2020,English
219,The Disappointments Room,2020,English
220,Terminal,2020,English
221,The Little Mermaid,2020,English
222,Puzzle,2020,English
223,Bad Times At The El Royale,2020,English
224,Slender Man,2020,English
225,Kin,2020,English
226,I Kill Giants,2020,English
227,Night School,2020,English
228,The First Purge,2020,English
229,Dhruva Natchathiram,2020,Tamil
230,Melobba Maayaavi,2020,Kannada
231,Ranganayaka,2020,Kannada
232,Bilal,2020,Malayalam
233,Sannyasi Deshonayok,2020,Bengali
234,Hillbilly Elegy,2020,English
235,Nightmare Alley,2020,English
236,Ramprasad Ki Tehrvi,2020,Hindi
237,Khottay Sikkay,2020,Hindi
238,Mimi,2020,Hindi
239,Chappad Phaad Ke,2020,Hindi
240,F2,2020,Hindi
241,Teefa In Trouble,2020,Hindi
242,Firrkie,2020,Hindi
243,Tom Dick and Harry Returns,2020,Hindi
244,Saina,2020,Hindi
245,Aankh Micholi,2020,Hindi
246,Definition of Fear,2020,English
247,The Mustang,2020,English
248,Tully,2020,English
249,A Kid Like Jake,2020,English
250,Friends In Law,2020,"English, "
251,A Wrinkle in Time,2020,English
252,Sherlock Gnomes,2020,English
253,Crooked House,2020,English
254,Gotti,2020,English
255,The Front Runner,2020,English
256,The Vanishing,2020,English
257,Vice,2020,English
258,The Favourite,2020,English
259,No Time To Die,2020,English
260,Serenity,2020,English
261,The Hate U Give,2020,English
262,Blaze,2020,English
263,Sangamithra,2020,Tamil
264,Shakthi,2020,Tamil
265,Vanangamudi,2020,Tamil
266,Iravaakaalam,2020,Tamil
267,The Mosquito Philosophy,2020,Tamil
268,Nungambakkam,2020,Tamil
269,Yaar Ivargal,2020,Tamil
